id,decision,handout_entry,handout_section,others_page,others_quote,others_quote_check,topic,book_chapter,book_chapter_title,book_printed_page,book_pdf_file,book_pdf_page,fits_after,book_evidence,new_contribution,reason,central_review
TU-32,include,A15-3,A · after mid-module,19,"Predisposing Factors: Adenoma ... Familial polyposis. IBD ... Irradiation. Mutations ... Risk factors low fiber, high fat Diet, Decreased Vit A, C, E, Increased meat consumption",verbatim on page,Colorectal cancer predisposing factors,15,Colorectal Cancer,196,first-half,199,Aetiology — 1- Predisposing factors,"Ch15: Red meat, processed meat, fatty meals ... FPC ... IBD ... Adenomatous polyp; Ch4 p74: low fiber, high fat, decreased vit A, C, E ... APC, k-ras, p53; DNA mismatch repair (grep irradiat: none for CRC)",Prior irradiation is a predisposing factor for colorectal carcinoma.,only irradiation is absent,confirmed
TU-33,exclude,,,20,"Survival: depends on stage ... Ratio of male to female patients 2:1 for rectal cancers, 1:1 before 50",verbatim on page,CRC survival/sex ratio,4,Pathology of GIT Tumours,74,first-half,77,Adenocarcinoma,"-Survival depends on stage ... Ratio of male to female patients 2:1 for rectal cancers, 1:1 before 50)",-,duplicate,confirmed
TU-34,exclude,,,20,Rectum and distal sigmoid (50%) Caecum & Ascending colon (25%) Descending colon & proximal sigmoid (20%) The Remainder 5%,verbatim on page,CRC site distribution,15,Colorectal Cancer,197,first-half,200,Incidence of colorectal cancer in different parts,"Figure 15.2 'Distribution of colorectal cancer' (figure labels, checked on the rendered page): rectum 27%, sigmoid colon 20%, caecum 14%, ascending colon 8%, rectosigmoid junction 7%, transverse 5%, hepatic flexure 3%, descending 3%, splenic flexure 2%, anus 2%, appendix 1%.","Site frequencies: rectum + distal sigmoid ~50%, caecum + ascending colon ~25%, descending + proximal sigmoid ~20%, rest of colon ~5%.","Central review: Figure 15.2 on book p.197 already gives the per-segment distribution (rectum 27%, sigmoid 20%, caecum 14%, ascending colon 8% ...). The GIT Others values group segments differently and teach nothing new.",changed
TU-35,exclude,,,20,Exophytic ... usually in the proximal colon ... Obstruction is uncommon ... 2. Ulcerating ... 3. Infiltrating (Annular).,verbatim on page,CRC gross shapes,15,Colorectal Cancer,200,second-half,4,Macroscopic picture,The right colon is larger in diameter ... The cancer comes more in the form of mass or ulcer; Ch4 p74: Fungating -Ulcerating or infiltrating (annular),-,duplicate (Ch15 right vs left colon),confirmed
TU-36,include,A15-2,A · after mid-module,20,B- Signet ring cell carcinoma: malignant cells show intracytoplasmic mucin pushes the nuclei eccentrically. ... 3. Undifferentiated Schirrhous carcinoma.,verbatim on page,CRC histological variants,15,Colorectal Cancer,196,first-half,199,Microscopic picture — Mucinous adenocarcinoma,Mucinous adenocarcinoma (>50% mucinous material) ia a variant of adenocarcinoma; Grade 3: Undifferentiated (grep signet: only gastric diffuse type Ch4 p73),Signet ring cell carcinoma is a mucinous variant of colorectal adenocarcinoma: intracytoplasmic mucin pushes the nucleus to one side (mucinous adenocarcinoma = extracellular mucin).,signet ring variant of colon absent,confirmed
TU-37,exclude,,,20,"Glands have lost polarity ... desmoplastic stroma ... in 10-15% of patients, mucin lakes",verbatim on page,CRC histology,4,Pathology of GIT Tumours,74,first-half,77,Histopathology,Glands have lost polarity ... mucin lakes can be seen.,-,duplicate,confirmed
TU-38,exclude,,,21,25% of patients have metastatic disease at presentation. ... Increased serum CEA,verbatim on page,CRC course and diagnosis,4,Pathology of GIT Tumours,75,first-half,78,Course / Diagnosis,25% of patients have metastatic disease at presentation ... Increased serum CEA which is more valuable in follow up,-,duplicate,confirmed
TU-39,exclude,,,21,"Sheets of monotonous, polyhydral cells Separated by Fibrovascular stroma with deeply stained nuclei.",verbatim on page,Carcinoid,4,Pathology of GIT Tumours,75,first-half,78,Intestinal carcinoid,"Sheets of monotonous, polyhydral cells with deeply stained nuclei ... firm and yellow ... 25%",Cells separated by fibrovascular stroma.,otherwise duplicate; residual detail low value,confirmed
TU-40,exclude,,,21,GISTs are the most common mesenchymal neoplasms ... interstitial cell of Cajal ... Spindle ... Epithelioid,summary (not verbatim),GIST,4,Pathology of GIT Tumours,75,first-half,78,Gastrointestinal stromal tumor (GIST),Gastrointestinal stromal tumors are the most common mesenchymal neoplasms ... interstitial cell of Cajal ... 1-Spindle cell ... 2- Epithelioid,-,duplicate,confirmed
FI-01,exclude,,,22,"Foodborn illness: are infections caused by a variety of microorganisms mainly Salmonella, Clostridium perfringens, Campylobacter, and Staphylococcus aureus norovirus.",verbatim on page,Foodborne illness definition,7,Foodborn Infection,107,first-half,110,Foodborn Infection (intro),"Foodborne illness: are infections caused by a variety of microorganisms mainly Salmonella, Clostridium perfringens, Campylobacter, and Staphylococcus aureus Norovirus",—,duplicate,confirmed
FI-02,include,B7-1,B · earlier-chapter additions,22,Poultry are the primary reservoirs,verbatim on page,Salmonella reservoir,7,Foodborn Infection,107,first-half,110,Salmonella – Acute gastroenteritis (contaminated eggs),"no mention found (grep: poultry, reservoir — poultry appears only for Campylobacter)",Poultry are the primary reservoir of (non-typhoidal) Salmonella causing acute gastroenteritis.,Absent; reservoir is a consequential epidemiological fact within covered Salmonella topic,confirmed
FI-03,include,B7-2,B · earlier-chapter additions,22,"Facultative anaerobes ,grow well at 37ºC after 24 hours. MacConkey agar: non-lactose fermenters (pale yellow colonies).",verbatim on page,Salmonella culture conditions,7,Foodborn Infection,107,first-half,110,Salmonella – Culture,"Culture: non-lactose fermenter on MacConkey agar .Special culture media include SS agar , deoxycholate citrate agar (DCA) and broth selenite and tetrathionate",Salmonella is a facultative anaerobe growing well at 37 °C in 24 h; non-lactose-fermenting colonies on MacConkey appear pale (pale yellow).,"Partial: book gives media only; oxygen requirement/growth conditions absent (grep: facultative anaerob, 37)",confirmed
FI-04,exclude,,,22,SS agar and deoxycholate citrate agar (DCA) and broth selenite and tetrathionate are used for its isolation.,verbatim on page,Salmonella selective media,7,Foodborn Infection,107,first-half,110,Salmonella – Culture,"Special culture media include SS agar , deoxycholate citrate agar (DCA) and broth selenite and tetrathionate",—,duplicate,confirmed
FI-05,include,B7-2,B · earlier-chapter additions,22,Partial sugar fermentation with the production of acid and gas by most species except S.typhi which produce acid only.,verbatim on page,Salmonella biochemistry – S. typhi,7,Foodborn Infection,107,first-half,110,Salmonella – Biochemical reactions,"Biochemical reactions: partial sugar fermentation ,urease negative ,oxidase negative, and H2S positive",Most Salmonella species ferment sugars with acid AND gas; S. typhi produces acid only (no gas) — a distinguishing feature of S. typhi.,"Partial: acid/gas vs acid-only distinction absent (grep: acid only, acid and gas)",confirmed
FI-06,exclude,,,22,O (somatic) antigens ... H antigen (flagella) ... Virulent antigen (Vi Ag) is anti-phagocytic and is present only in S. typhi. Pathogenesis ... endotoxins and exotoxins. Resistance: Killed by heating at 60◦C for 30 min ... Resistant to the action of bile salts.,summary (not verbatim),"Salmonella antigens, toxins, resistance",7,Foodborn Infection,107,first-half,110,Salmonella – Antigenic structure / Resistance,Antigenic structure: O (somatic) antigens ... Virulent antigen (Vi Ag) is anti-phagocytic and is present only in S. typhi. ... Resistance:Killed by heating at 60°C for 30 min ... Resist the action of bile salts.,—,duplicate,confirmed
FI-07,exclude,,,23,Enteric fever is caused by S. typhi and the milder paratyphoid fever ... generalized infection of reticuloendothelial system ... endemic in Egypt.,verbatim on page,Enteric fever definition,7,Foodborn Infection,107,first-half,110,Diseases caused by Salmonella – Enteric fever,"Enteric fever is caused by S. typhi and the milder paratyphoid fever is caused by Paratyphi A, B and C. Enteric fever is defined as generalized infection of reticuloendothelial system",—,duplicate,confirmed
FI-08,exclude,,,23,The organism adhere to the mucosa of small intestine by pili then penetrate to submucosal layer causing no lesion. ... transported to the gall bladder to be excreted with bile.,verbatim on page,Enteric fever pathogenesis,7,Foodborn Infection,108,first-half,111,Enteric fever – Pathogenesis,The organism adhere to the mucosa of small intestine by pili then penetrate to submucosal layer causing no lesion. In lymphoid tissue the organism invade macrophages,—,duplicate,confirmed
FI-09,exclude,,,23,The incubation period of the disease is 10-14 days. ... white cell count is normal or low. ... 5% of patients cured from typhoid remain carriers ... Urinary carriers are common in Egypt because of bilharziasis.,verbatim on page,Enteric fever clinical course and carriers,7,Foodborn Infection,108,first-half,111,Enteric fever – Outcome,The incubation period of the disease is 10-14 days ... The white cell count is normal or low. ... Outcome: 5% of patients cured from typhoid remain carriers ... Urinary carriers are common in Egypt because of bilharziasis.,—,duplicate,confirmed
FI-10,include,B7-3,B · earlier-chapter additions,24,During the first week by doing blood culture in fluid media and then subculture on solid media mainly MacConkeys media at 37ºC.,verbatim on page,Enteric fever – blood culture technique,7,Foodborn Infection,109,first-half,112,Laboratory diagnosis – A. Isolation of Salmonella (first week),A- Isolation of Salmonella during the first week by doing blood culture,"First-week blood culture is done in fluid (broth) media, then subcultured on solid media (mainly MacConkey) at 37 °C.","Partial: book states blood culture only; broth-then-subculture method absent (grep: fluid media, subculture)",confirmed
FI-11,exclude,,,24,"Second week , Salmonella is isolated from stool and after the second week from urine by direct culture on selective media.",verbatim on page,Enteric fever – stool/urine culture timing,7,Foodborn Infection,109,first-half,112,Laboratory diagnosis – B,"B- Second week , Salmonella is isolated from stool and after the second week from urine by direct culture on selective media.",—,duplicate,confirmed
FI-12,exclude,,,24,This test demonstrates agglutination of serum antibodies ... Antibodies rise sharply during the second and third weeks ... The presence of IgM is indicative of acute recent infections.,verbatim on page,Widal test principle,7,Foodborn Infection,109,first-half,112,Laboratory diagnosis – Widal test,C- Serological diagnosis by Widal agglutination test:This test demonstrates agglutination ... Antibodies rise sharply during the second and third weeks ... The presence of IgM is indicative of acute recent infections.,—,duplicate,confirmed
FI-13,discrepancy,B7-D1,B · earlier-chapter additions,24,5- More than one H antigen (≥1:160) suggest recent infection with this type of Salmonella and recent immunization.,verbatim on page,Widal interpretation – H antibodies,7,Foodborn Infection,109,first-half,112,Interpretation of Widal test,2- High titer of antibody to one type of H antigen (≥1:160) suggest recent infection with this type of Salmonella. ... 4- High titer of antibodies to O antigens and more than one H antigen indicate recent immunization.,Sources differ: GIT others links a high titre to MORE THAN ONE H antigen with both recent infection with that type and recent immunization; the book assigns ONE H type to recent infection and O + more than one H to recent immunization. (GIT others list items 1–2 are truncated: '1- infection is present. 2- infection with this type of Salmonella.'),Conflicting interpretation wording; GIT others p.24 appears garbled/merged vs book p.109 — do not pick one,confirmed
FI-14,exclude,,,24,High titer of antibodies to O antigens (≥1:160) suggests that active infection is present. ... High titer of antibody to the Vi antigen occur in some carriers. With old immunization or past infection O antibodies disappear,verbatim on page,Widal interpretation – O and Vi,7,Foodborn Infection,109,first-half,112,Interpretation of Widal test,1- High or rising titer of antibody to O antigens (≥1:160) suggests that active infection is present. ... 3- High titer of antibody to the Vi antigen occur in some carriers. ... With old immunization or past infection O antibodies disappear,—,duplicate,confirmed
FI-15,exclude,,,24,False positive results may occur ... False negative in case of administration of antibiotics ... Antibiotics may be not effective on Salmonella carriage due to hidden carriage site.,verbatim on page,Widal limitations; carrier treatment,7,Foodborn Infection,109,first-half,112,Widal test limitations,"False positive results may occur in an endemic area, immunization with any typhoid vaccine ... 2- False negative in case of administration of antibiotics ... Antibiotics may be not effective on Salmonella carriage because the site of carriage may not allow penetration",—,duplicate,confirmed
FI-16,include,B7-4,B · earlier-chapter additions,25,"Food handlers are examined to diagnose carriers, treat them or excluding them from handling food.",verbatim on page,Typhoid prevention – food handlers,7,Foodborn Infection,109,first-half,112,Enteric fever – Prevention and Control,Prevention and Control by 1- Immunization: several typhoid vaccines are available for use : (no food-handler item; grep: food handler → only S. aureus source of contamination p.112),"Typhoid control includes examining food handlers to detect carriers, then treating them or excluding them from food handling.","Absent from book's typhoid Prevention list, which starts directly with immunization",confirmed
FI-17,exclude,,,25,Parenteral heat-phenol-inactivated vaccine ... TAB vaccine ... 2 subcutaneous (SC) doses ... Living vaccine should not be given to children younger than 6 years ... Vi capsular polysaccharide (ViCPS),verbatim on page,Typhoid vaccines,7,Foodborn Infection,110,first-half,113,Prevention – Immunization,"a. Parenteral heat-phenol-inactivated vaccine contains S.typhi and paratyphi A,B,,C hence the name TAB vaccine . The vaccine is given as 2 subcutaneous (SC) doses.",—,duplicate,confirmed
FI-18,include,B7-5,B · earlier-chapter additions,25,"It last for 2-5 days, spontaneous cure usually occurs.",verbatim on page,S. typhimurium food poisoning outcome,7,Foodborn Infection,110,first-half,113,Salmonella food poisoning – a. S. typhimurium,"Symptoms (diarrhea, vomiting, fever) appear after 12-24 hours following ingestion of meat contaminated with rat excreta ... It last for 2-5 days.",S. typhimurium food poisoning is self-limiting: spontaneous cure usually occurs.,Partial: book gives duration but omits spontaneous cure (grep: spontaneous cure),confirmed
FI-19,exclude,,,25,Salmonella enteritidis infection or Egg-associated salmonellosis ... Incubation period from 12 to 72 hours ... lasts 4 to 7 days,verbatim on page,S. enteritidis,7,Foodborn Infection,110,first-half,113,Salmonella food poisoning – b,b- Salmonella enteritidis infection or Egg-associated salmonellosis ... Incubation period from 12 to 72 hours ... The illness usually lasts 4 to 7 days,—,duplicate,confirmed
FI-20,exclude,,,26,"Campylobacter jejuni (poultry; humans) ... gull-winged ... darting motility ... Micro-aerophilic and capnophilic (CO2 :10%) ... 42ºC ... Skirrows medium ... Oxidase positive, catalase positive",verbatim on page,"Campylobacter morphology, culture, biochemistry",7,Foodborn Infection,110,first-half,113,Campylobacter,Morphology: They are gram negative curved bacilli (S-shaped or “gull-winged” appearance) ... Culture: Micro-aerophilic thermophilic and capnophilic (CO2 :10%) on Selective media ... Skirrows medium at 42ºC,—,duplicate,confirmed
FI-21,exclude,,,26,Virulence factors ... Transmission: feco-oral ... Children under 5 years ... Incubation period of 1-7 days ... Bacteremia is common,verbatim on page,Campylobacter pathogenesis and clinical,7,Foodborn Infection,110,first-half,113,Campylobacter – Pathogenesis,Pathogenesis: Virulence factors include ... Transmission: feco-oral route ... Incubation period of 1-7 days with acute onset ... Bacteremia is common,—,duplicate,confirmed
FI-22,exclude,,,27,Guillian-Barre Syndrome. Reiter's syndrome. reactive arthritis. spontaneous abortion.,verbatim on page,Campylobacter late complications,7,Foodborn Infection,111,first-half,114,Campylobacter – Complications,Important late onset complications following gastroenteritis include: Guillain- Barre Syndrome; Reiter’s syndrome; reactive arthritis and spontaneous abortion .,—,duplicate,confirmed
FI-23,include,B7-6,B · earlier-chapter additions,27,"Rectal swab: Care to avoid oxygen exposure ... Darting motility in wet mount preparation under dark field illumination. ... Identification of isolated colonies is done on the basis of, biotyping ,serotyping, phage typing.",verbatim on page,Campylobacter lab diagnosis details,7,Foodborn Infection,111,first-half,114,Campylobacter – Laboratory diagnosis,Care to avoid oxygen exposure while taking sample or better a special transport medium is used. A- Direct examination: by Gram stain and observation of darting motility in wet mount preparation B-Culture: on Skirrows medium.,"Campylobacter: a rectal swab is an acceptable specimen; darting motility is seen in wet mount under dark-field illumination; isolated colonies are identified by biotyping, serotyping and phage typing.",Central review: the Gram-smear 'curved/S-shaped bacilli' point was dropped because book p.110 morphology already states it.,changed
FI-24,exclude,,,27,Fluoroquinolone resistance has developed rapidly ... inherently resistant to trimethoprim and most cephalosporins.,verbatim on page,Campylobacter antibiotic resistance,7,Foodborn Infection,111,first-half,114,Campylobacter – Antibiotic resistance,Antibiotic resistance: Fluoroquinolone resistance has developed rapidly related to unrestricted use and the use of enrofloxacin in poultry.,—,duplicate,confirmed
FI-25,exclude,,,27,"Brucella is the cause of brucellosis ... Brucella abortus (cattle), Brucella melintensis ... Species are differentiated by production of urease and H2S ... Morphology: Gram-negative small bacilli ... Biochemical reactions: Positive for catalase, oxidase ,urease",verbatim on page,"Brucella species, morphology, biochemistry",7,Foodborn Infection,111,first-half,114,Brucella,"Brucella is the cause of brucellosis, a zoonotic disease ... Species are differentiated by production of urease and H2S ... Biochemical reactions: Positive for catalase, oxidase ,urease and reduce nitrates.",—,duplicate,confirmed
FI-26,include,B7-7,B · earlier-chapter additions,27,"Culture: Aerobic, 10% CO2 require enriched media containing serum",verbatim on page,Brucella culture atmosphere,7,Foodborn Infection,111,first-half,114,Brucella – Culture,"Culture: Aerobic, require enriched media containing serum e.g. serum dextrose agar. Colonies appear after 48 to 72 hours.",Brucella culture requires 10% CO2 (in addition to aerobic conditions and serum-enriched media).,Partial: CO2 requirement omitted from book's Brucella culture line,confirmed
FI-27,exclude,,,28,Brucellosis (Malta fever or undulant fever) ... bouts of fever 3-4 weeks ... Transmission ... Blood culture is the method of choice early ... 4-6 weeks ... urease test ... Serology ... prozone ... 1:20 to 1:520 ... Brucellin test ... Treatment: combinations of antibiotics for 4 to 6 weeks.,summary (not verbatim),"Brucellosis clinical, diagnosis, prevention, treatment",7,Foodborn Infection,111,first-half,114,Brucellosis,Brucellosis (Malta fever or undulant fever) ... A- Culture:Blood culture is the method of choice early in the disease ... B- Serology: Is the main method ... Dilutions are done from 1:20 to 1:520 ... Treatment: using combinations of antibiotics for 4 to 6 weeks.,—,duplicate,confirmed
FI-28,exclude,,,29,"Staphylococcal enterotoxins do not change the taste ... heat stable for 30 minutes of boiling ... incubation period is short ,1-6 hours ... mannitol-salt agar ... phage typing and PCR.",verbatim on page,S. aureus food poisoning,7,Foodborn Infection,112,first-half,115,Food born poisoning – Staphylococcus aureus,"Staphylococcal enterotoxins do not change the taste, color or odor of food. They are heat stable for 30 minutes of boiling ... The incubation period is short ,1-6 hours",—,duplicate,confirmed
FI-29,exclude,,,29,B.cereus cause two forms of food poisoning ... emetic ... cooked rice ... 1-6 hours ... diarrheal form ... heat labile enterotoxin ... 8-16 hours ... adenylate cyclase,verbatim on page,Bacillus cereus,7,Foodborn Infection,112,first-half,115,Spore forming gram positive bacilli – B. cereus,1. B.cereus cause two forms of food poisoning a. The “short-incubation” or emetic form ... b. The “long-incubation” or diarrheal form: caused by heat labile enterotoxin ... 8-16 hours.,—,duplicate,confirmed
FI-30,exclude,,,30,"Toxin is produced within the contaminated canned food ... inhibits the release of acetylcholine ... Antitoxin is only effective ... within 12 h ... Trivalent anti-toxin serum (types A,B and E) ... Antibiotics are not used ... Swollen cans must be discarded.",verbatim on page,Botulism,7,Foodborn Infection,113,first-half,116,Clostridium botulinum,"Transmission and pathogenesis : Toxin is produced within the contaminated canned food ... Trivalent anti-toxin serum(types A,B and E) is given IV ... Antibiotics are not used to treat botulism, Prevention: Swollen cans must be discarded.",—,duplicate,confirmed
FI-31,exclude,,,31,Leptospira are spirochetes ... dark-field microscopy ... Stuart 's media ... Incubation period: 4-14 days. It is a biphasic disease ... hepatitis and jaundice ... meningitis ( in 40% ) ... blood for the first 7 to 10 days ... no human vaccines,verbatim on page,Leptospirosis (incl. hepatic involvement),7,Foodborn Infection,113,first-half,116,Other GIT pathogens – Leptospirosis,"Leptospirosis (Weil’s disease,7-day fever) ... Pathogenesis : Incubation period: 4-14 days.It is a biphasic disease ... There is hepatitis and jaundice ... There are no human vaccines. (Ch19 p.251 only lists 'Non viral infection : Toxoplasmosis – Leptospirosis – Q fever.')",—,"duplicate (entire block present in Ch7; Ch19 only lists it as a cause, so no reassignment)",confirmed
FI-32,exclude,,,32,Yellow Fever ... single-stranded enveloped RNA arboviruses ... Incubation period: 3-5 days ... degeneration of the liver ... Jaundice is a prominent feature due to liver necrosis ... case-fatality rate can be 50% ... 17 D strain,verbatim on page,Yellow fever (incl. liver necrosis),7,Foodborn Infection,114,first-half,117,Other GIT pathogens – Yellow fever,"Jaundice is a prominent feature due to liver necrosis. The case-fatality rate can be 50%. ... Vaccine: “17 D strain” live attenuated virus, given as a single dose subcutaneously.",—,duplicate (all present in Ch7 pp.113–114; not covered in liver chapters),confirmed
FI-33,exclude,,,33,Dengue virus ... breakbone fever ... Dengue Hemorrhagic Fever ... Case fatality rate is 50%. Ebola and Marburg viruses ... transmitted by direct contact with infected body fluids.,verbatim on page,"Dengue, Ebola, Marburg",7,Foodborn Infection,114,first-half,117,Other GIT pathogens – Dengue / Ebola,Dengue virus : RNA enveloped viruses ... (“breakbone fever”) ... Dengue Hemorrhagic Fever is a deadly complication of dengue.Case fatality rate is 50%. Ebola and Marburg viruses ...,—,duplicate,confirmed
FI-34,exclude,,,33,1- Salmonella spp have the following biochemical reactions Except: a- Ferment lactose ... c- Indole negative.,verbatim on page,MCQ 1 – Salmonella biochemistry,7,Foodborn Infection,107,first-half,110,Salmonella – Biochemical reactions,non-lactose fermenter on MacConkey agar ... urease negative (indole not mentioned; grep: indole),—,MCQ: no keyed answer given in GIT others; lactose/urease already in book; indole not stated as fact in GIT others text,confirmed
FI-35,exclude,,,33,2- Salmonella causing food poisoning include: ... d- Salmonella typhimurium. 3- Culture of Campylobacter ... a- Micro-aerophilic and capnophilic.,verbatim on page,MCQ 2–3,7,Foodborn Infection,110,first-half,113,Salmonella food poisoning / Campylobacter culture,2.Salmonella food poisoning: a- Salmonella typhimurium ... Micro-aerophilic thermophilic and capnophilic,—,MCQ duplicate,confirmed
FI-36,exclude,,,34,4- The laboratory test of choice to diagnose Brucellosis is: a- Blood culture. ... 6- ... Which organism ... would not benefit from prompt antibiotic treatment? ... c- C.botulinum. 8- ... yellow fever vaccine Except: a- Killed vaccine.,verbatim on page,"MCQ 4, 6, 8",7,Foodborn Infection,113,first-half,116,Brucella / Botulism / Yellow fever,Blood culture is the method of choice early in the disease (p.111) ... Antibiotics are not used to treat botulism (p.113) ... “17 D strain” live attenuated virus (p.114),—,MCQ duplicate (facts already in book; no answer key in GIT others),confirmed
FI-37,exclude,,,34,5- Bacillus cereus is the etiological agent of all of the followings Except: ... c- Cutaneous Anthrax. 7- Rodent are reservoirs of leptospira which colonize their: ... b- Kidneys.,summary (not verbatim),"MCQ 5, 7",7,Foodborn Infection,113,first-half,116,B. cereus / Leptospirosis,"no mention found (grep: anthrax, rodent, kidney colonization)",—,"MCQ with no keyed answer stated in GIT others; implied facts (anthracis, rodent kidney colonization) not stated in GIT others text — cannot include without inference",confirmed
PA-01,exclude,,,35,S.mansoni ... Intermediate host Biomphalaria alexandrina ... Habitat Inferior mesenteric plexus of veins,verbatim on page,Schistosoma species comparison table,9,Parasitic GI Diseases,123,first-half,126,Blood flukes – Schistosoma,S.mansoni ... Biomphalaria alexandrina ... Onchomelania species ... Inferior mesenteric plexus of veins,None — already in book,Present verbatim in Ch9 (the Ch9 text reproduces GIT others pp.35-47 nearly word for word),confirmed
PA-02,exclude,,,36,Eggs escape to the perivascular tissue due to: i. pressure within the venule. ii. effect of the spine...,verbatim on page,"Schistosoma egg escape, miracidia, cercarial skin penetration",9,Parasitic GI Diseases,124,first-half,127,Schistosoma – Life cycle,Eggs escape to the perivascular tissue due to: i. pressure within the venule. ii. effect of the spine.,None — already in book,Present verbatim in Ch9 (the Ch9 text reproduces GIT others pp.35-47 nearly word for word),confirmed
PA-03,exclude,,,36,The prepatent period ... around 35 days for S.munsoni and Sjaponicum and about 70 days for S.haematobium.,verbatim on page,Schistosomula migration and prepatent period,9,Parasitic GI Diseases,125,first-half,128,Schistosoma – Life cycle,The prepatent period ... is around 35 days for S.munsoni and Sjaponicum and about 70 days for S.haematobium.,None — already in book,Duplicate; same prepatent periods (35 d / 70 d) — no discrepancy,confirmed
PA-04,exclude,,,37,Intestinal schistosomiasis is 7-8 weeks (for S. mansoni infection) and 5-6 weeks (for S. japonicum infection).,verbatim on page,Incubation of intestinal schistosomiasis,9,Parasitic GI Diseases,125,first-half,128,Schistosoma – Pathogenesis and clinical picture,Intestinal schistosomiasis is 7-8 weeks (for S. mansoni infection) and 5-6 weeks (for S. japonicum infection).,None — already in book,Duplicate; identical figures — no discrepancy,confirmed
PA-05,exclude,,,37,1. Stage of invasion (1 - 4 days) ... 2. Stage of migration (3 — 4 weeks) ... 3. Stage of egg deposition and extrusion (acute stage: 1-2 month),verbatim on page,Schistosomiasis stages 1–3,9,Parasitic GI Diseases,125,first-half,128,Schistosoma – Pathogenesis and clinical picture,1. Stage of invasion (1 - 4 days): 2. Stage of migration (3 — 4 weeks): ... 3. Stage of egg deposition and extrusion (acute stage: 1-2 month),None — already in book,Duplicate; same stage durations and features,confirmed
PA-06,exclude,,,37,S.japonicum may present with Katayama fever.,verbatim on page,Katayama fever; dysentery in intestinal bilharziasis,9,Parasitic GI Diseases,126,first-half,129,Schistosoma – stage of egg deposition,dysentery with blood and mucus in stooliaca ... Sjaponicum may present with Katayama fever,None — already in book,Present verbatim in Ch9 (the Ch9 text reproduces GIT others pp.35-47 nearly word for word),confirmed
PA-07,exclude,,,38,"The intestinal wall becomes fibrosed, thickened and may be complicated with strictures, sinuses, fistula and prolapse.",verbatim on page,"Chronic stage – intestinal lesions (nodules, papillomata, sandy patches)",9,Parasitic GI Diseases,126,first-half,129,Schistosoma – Stage of tissue reaction,"The intestinal wall becomes fibrosed, thickened and may be complicated with strictures, sinuses, fistulac and prolapse.",None — already in book,Present verbatim in Ch9 (the Ch9 text reproduces GIT others pp.35-47 nearly word for word),confirmed
PA-08,exclude,,,38,"This results in periportal fibrosis, portal hypertension, hepatosplenomegaly, followed by shrunken fibrosed liver.",verbatim on page,"Hepatic schistosomiasis: periportal fibrosis, portal hypertension, hypersplenism, pancytopenia",9,Parasitic GI Diseases,126,first-half,129,Schistosoma – Stage of tissue reaction,"This results in periportal fibrosis, portal hypertension, hepatosplenomegaly, followed by shrunken fibroscd liver. ... Later on it leads to pancytopenia.",None — already in book,Duplicate in Ch9 p.126; Ch23 p.310 also lists 'Schistosomiasis with periportal fibrosis' (presinusoidal) and Ch22 p.283 hepatosplenic schistosomiasis,confirmed
PA-09,exclude,,,38,a) Complete blood count (CBC): Shows eosinophilia up to 40 % and anaemia.,verbatim on page,Diagnosis of intestinal schistosomiasis,9,Parasitic GI Diseases,126,first-half,129,Intestinal schistosomiasis – Diagnosis,a) Complete blood count (CBC): Shows eosinophilia up to 40 % and anaemia. b) Rectal swab c) colonoscopy and sigmoidoscopy,None — already in book,Present verbatim in Ch9 (the Ch9 text reproduces GIT others pp.35-47 nearly word for word),confirmed
PA-10,exclude,,,38,"1. Praziquantel (Biltricide), Oxmoquine (Vansil) and Metriphonate",verbatim on page,Schistosomiasis treatment and prevention,9,Parasitic GI Diseases,127,first-half,130,Intestinal schistosomiasis – Treatment,"1. Praziquante! (Biltricide), Oxmoquine (Vansil) and Metriphonate ... 3- Snail control",None — already in book,Present verbatim in Ch9 (the Ch9 text reproduces GIT others pp.35-47 nearly word for word),confirmed
PA-11,exclude,,,39,Mode of infection: by ingestion of under-cooked beef containing viable cysticerci ... matures in about 3 months.,verbatim on page,"Taenia saginata – distribution, hosts, infective/diagnostic stages",9,Parasitic GI Diseases,127,first-half,130,Taenia saginata,Mode of infection: by ingestion of undercooked beef containing viable cysticerci ... matures in about 3 months.,None — already in book,Present verbatim in Ch9 (the Ch9 text reproduces GIT others pp.35-47 nearly word for word),confirmed
PA-12,exclude,,,39,5. Appendicitis or cholangitis caused by stray segments of the worm.,verbatim on page,Taenia saginata – clinical picture,9,Parasitic GI Diseases,127,first-half,130,Taenia saginata – Pathogenesis and clinical picture,5. Appendicitis or cholangitis caused by stray segments of the worm. 6. Migrating segments creeping out of the anus,None — already in book,Present verbatim in Ch9 (the Ch9 text reproduces GIT others pp.35-47 nearly word for word),confirmed
PA-13,exclude,,,39,Compress the segments between two slides and count the main lateral branches. ... Detection of coproantigen in patients' stool by ELISA.,verbatim on page,Taenia saginata – diagnosis,9,Parasitic GI Diseases,128,first-half,131,Taenia saginata – Diagnosis,Compress the segments between two slides and count the main lateral branches. 3. Immunodiagnosis: Detection of coproantigen in patients' stool by ELISA.,None — already in book,Present verbatim in Ch9 (the Ch9 text reproduces GIT others pp.35-47 nearly word for word),confirmed
