handout,handout_name,row_id,original_entry,original_decision,chapter,topic,book_printed_pages,source_pages,integrated_disposition,integrated_ids,detail
IM,Before Mid-Module Internal Medicine Extras (GIT Internal Med),C5-07,,duplicate/exclude,5,"Definition, normal frequency, consistency; 'diarrhea is a symptom'",77,GIT Internal Med p. 51,excluded by original handout,,Duplicate; 'symptom not a disease' is generic filler.
IM,Before Mid-Module Internal Medicine Extras (GIT Internal Med),C5-08,C5-08,discrepancy/needs review,5,Duration cut-off for acute diarrhea,77,GIT Internal Med p. 51,review point,R07,
IM,Before Mid-Module Internal Medicine Extras (GIT Internal Med),C5-09,C5-09/12,include,5,Mechanism of osmotic diarrhea,79,GIT Internal Med p. 52,retained,E05.04,
IM,Before Mid-Module Internal Medicine Extras (GIT Internal Med),C5-10,,duplicate/exclude,5,Causes of osmotic diarrhea; pathophysiologic and clinical classification charts,79,GIT Internal Med p. 52,excluded by original handout,,Duplicate.
IM,Before Mid-Module Internal Medicine Extras (GIT Internal Med),C5-11,,duplicate/exclude,5,"Secretory diarrhea definition, features and causes",80,GIT Internal Med p. 53,excluded by original handout,,Duplicate except laxative examples (next row).
IM,Before Mid-Module Internal Medicine Extras (GIT Internal Med),C5-12,C5-09/12,include,5,Examples of secretory laxatives,80,GIT Internal Med p. 53,retained,E05.04,
IM,Before Mid-Module Internal Medicine Extras (GIT Internal Med),C5-13,,duplicate/exclude,5,"Exudative mechanism, causes; altered motility",80-81,GIT Internal Med p. 54,excluded by original handout,,Duplicate.
IM,Before Mid-Module Internal Medicine Extras (GIT Internal Med),C5-14,,duplicate/exclude,5,"Acute diarrhea causes, transmission, food poisoning, mechanism table",81-82,GIT Internal Med p. 55-56,excluded by original handout,,Duplicate.
IM,Before Mid-Module Internal Medicine Extras (GIT Internal Med),C5-15,C5-15,include,5,Epidemiology of acute infectious diarrhea: vehicle and classic pathogens,81-82 (also checked ch7 106-114),GIT Internal Med p. 55,retained,E05.06,E05.06: Pointer to Chapter 7 (Salmonella/Campylobacter laboratory points) added.
IM,Before Mid-Module Internal Medicine Extras (GIT Internal Med),C5-16,,duplicate/exclude,5,"ORS, opiates, antimicrobials",82,GIT Internal Med p. 56,excluded by original handout,,Duplicate.
IM,Before Mid-Module Internal Medicine Extras (GIT Internal Med),C5-17,C5-17,include,5,Why ORS works in secretory diarrhea (figure),82,GIT Internal Med p. 56,retained,E05.05,
IM,Before Mid-Module Internal Medicine Extras (GIT Internal Med),C5-18,,duplicate/exclude,5,Refractory diarrhea causes and protracted infectious organisms,83,GIT Internal Med p. 57,excluded by original handout,,Duplicate.
IM,Before Mid-Module Internal Medicine Extras (GIT Internal Med),C5-19,C5-19,include,5,Clostridium difficile (pseudomembranous) colitis,"83 (also checked ch7 106-114, IBD 121)",GIT Internal Med p. 57-58,retained,E05.07,E05.07: Relapse sentence ('five or more relapses') removed: already on book p. 83 (audit B §5.1).
IM,Before Mid-Module Internal Medicine Extras (GIT Internal Med),C5-20,,duplicate/exclude,5,"Post-infectious IBS: 25% figure, Brainerd's diarrhea",83-84 (IBS ch 101),GIT Internal Med p. 58,excluded by original handout,,Duplicate.
IM,Before Mid-Module Internal Medicine Extras (GIT Internal Med),C5-21,C5-21,include,5,Post-infectious IBS: mechanisms and celiac screening,84 (IBS ch 101),GIT Internal Med p. 58,retained,E05.09,
IM,Before Mid-Module Internal Medicine Extras (GIT Internal Med),C5-22,,duplicate/exclude,5,Chronic diarrhea causes,83,GIT Internal Med p. 59,excluded by original handout,,Duplicate.
IM,Before Mid-Module Internal Medicine Extras (GIT Internal Med),C5-23,C5-23,include,5,Chronic diarrhea causes by patient group (table),83,GIT Internal Med p. 59,retained,E05.08,
IM,Before Mid-Module Internal Medicine Extras (GIT Internal Med),C5-24,C5-24,include,5,Maldigestion vs malabsorption; changing clinical picture,84,GIT Internal Med p. 60,retained,E05.10,
IM,Before Mid-Module Internal Medicine Extras (GIT Internal Med),C5-25,,duplicate/exclude,5,Fat hardest to absorb; three phases; steatorrhea >6%; mechanism table; clinical consequences table,84-86,GIT Internal Med p. 60-62,excluded by original handout,,Duplicate.
IM,Before Mid-Module Internal Medicine Extras (GIT Internal Med),C5-26,C5-26,include,5,Site of nutrient absorption along the gut (figure),86,GIT Internal Med p. 62,retained,E05.03,
IM,Before Mid-Module Internal Medicine Extras (GIT Internal Med),C5-27,,duplicate/exclude,5,Lactase deficiency,86-87,GIT Internal Med p. 63,excluded by original handout,,Duplicate.
IM,Before Mid-Module Internal Medicine Extras (GIT Internal Med),C5-28,,duplicate/exclude,5,"Bacterial overgrowth mechanism, B12/folate pattern and causes",88-89,GIT Internal Med p. 64,excluded by original handout,,Duplicate.
IM,Before Mid-Module Internal Medicine Extras (GIT Internal Med),C5-29,,duplicate/exclude,5,"Celiac definition, pathology, serology, presentation, extraintestinal list, diarrhea mechanisms, NCGS",89-91,GIT Internal Med p. 65-66,excluded by original handout,,Duplicate.
IM,Before Mid-Module Internal Medicine Extras (GIT Internal Med),C5-30,C5-30,include,5,Celiac manifestations with their probable causes (table),89-91,GIT Internal Med p. 66,retained,E05.11,
IM,Before Mid-Module Internal Medicine Extras (GIT Internal Med),C5-31,C5-31,include,5,Conditions associated with celiac disease; increased morbidity after diagnosis,90,GIT Internal Med p. 66,retained,E05.12,
IM,Before Mid-Module Internal Medicine Extras (GIT Internal Med),C5-32,,duplicate/exclude,5,Tropical sprue and Whipple disease,92,GIT Internal Med p. 67,excluded by original handout,,Duplicate.
IM,Before Mid-Module Internal Medicine Extras (GIT Internal Med),C5-33,,duplicate/exclude,5,Tests reproduced in MAIN,93,GIT Internal Med p. 68-69,excluded by original handout,,Duplicate.
IM,Before Mid-Module Internal Medicine Extras (GIT Internal Med),C5-34,C5-34/36,include,5,D-xylose test,93-94,"GIT Internal Med p. 68, 70",retained,E05.13,
IM,Before Mid-Module Internal Medicine Extras (GIT Internal Med),C5-35,C5-35,include,5,Gold standard and additional tests for bacterial overgrowth,93,"GIT Internal Med p. 68, 70",retained,E05.14,
IM,Before Mid-Module Internal Medicine Extras (GIT Internal Med),C5-36,C5-34/36,include,5,"Interpretation details of stool fat, acid steatocrit, lactose H2 breath test, pancreatic tests",93,GIT Internal Med p. 69-70,retained,E05.13,
IM,Before Mid-Module Internal Medicine Extras (GIT Internal Med),C5-37,C5-37,include,5,"Small-bowel biopsy details, permeability studies, SeHCAT interpretation, Schilling test",93,GIT Internal Med p. 69,retained,E05.15,
IM,Before Mid-Module Internal Medicine Extras (GIT Internal Med),C5-38,C5-38,discrepancy/needs review,5,"Test protocol numbers: fat intake, collection days, lactose dose",93,GIT Internal Med p. 68-70,review point,R08,
IM,Before Mid-Module Internal Medicine Extras (GIT Internal Med),C5-39,,duplicate/exclude,5,Algorithm to chronic diarrhea and malabsorption,94,GIT Internal Med p. 70,excluded by original handout,,Duplicate (D-xylose explained in its own row).
IM,Before Mid-Module Internal Medicine Extras (GIT Internal Med),C6-01,,duplicate/exclude,6,Definition and primary vs secondary classification,96; 3,GIT Internal Med p. 71,excluded by original handout,,"Fully covered in MAIN, incl. structural causes under secondary."
IM,Before Mid-Module Internal Medicine Extras (GIT Internal Med),C6-02,,duplicate/exclude,6,"History: <3 stools/week, straining, hard stools, incomplete evacuation, bloating, manual maneuvers",97; 3,GIT Internal Med p. 71,excluded by original handout,,"Covered across MAIN p3, p97, p98 and Figure 6.1."
IM,Before Mid-Module Internal Medicine Extras (GIT Internal Med),C6-03,C6-03/04,include,6,Acute-onset constipation: ask about passing gas; obstipation,97,GIT Internal Med p. 71,retained,E06.01,
IM,Before Mid-Module Internal Medicine Extras (GIT Internal Med),C6-04,C6-03/04,include,6,DRE signs of pelvic floor dyssynergia,98; 96,GIT Internal Med p. 71,retained,E06.01,
IM,Before Mid-Module Internal Medicine Extras (GIT Internal Med),C6-05,,duplicate/exclude,6,Red flags and colonoscopy,97,GIT Internal Med p. 71-72,excluded by original handout,,Verbatim duplicate.
IM,Before Mid-Module Internal Medicine Extras (GIT Internal Med),C6-06,,duplicate/exclude,6,Secondary causes and empiric therapy,98,GIT Internal Med p. 72,excluded by original handout,,Verbatim duplicate.
IM,Before Mid-Module Internal Medicine Extras (GIT Internal Med),C6-07,,duplicate/exclude,6,Laxative classes figure,99,GIT Internal Med p. 72 (figure),excluded by original handout,,Classes covered in more detail in MAIN; 'some can be given rectally' is a low-value generic remark.
IM,Before Mid-Module Internal Medicine Extras (GIT Internal Med),C6-08,C6-08,include,6,Anorectal manometry: what it measures; MRI defecography,98; 100 (Fig 6.1),GIT Internal Med p. 72 (text + figures),retained,E06.02,
IM,Before Mid-Module Internal Medicine Extras (GIT Internal Med),C6-09,,duplicate/exclude,6,Colonic transit study; slow vs normal transit; IBS as normal-transit type,98,GIT Internal Med p. 73,excluded by original handout,,Text duplicate; the 'Sitzmarker' brand label is trivia.
IM,Before Mid-Module Internal Medicine Extras (GIT Internal Med),C6-10,C6-10/11/13/15,include,6,Functional GI disorders family; functional chest pain,101,GIT Internal Med p. 73,retained,E06.03,
IM,Before Mid-Module Internal Medicine Extras (GIT Internal Med),C6-11,C6-10/11/13/15,include,6,IBS causes: autonomic dysfunction,103,GIT Internal Med p. 74,retained,E06.03,
IM,Before Mid-Module Internal Medicine Extras (GIT Internal Med),C6-12,,duplicate/exclude,6,IBS subtypes,103,GIT Internal Med p. 74 (text + figure),excluded by original handout,,Duplicate.
IM,Before Mid-Module Internal Medicine Extras (GIT Internal Med),C6-13,C6-10/11/13/15,include,6,"IBS history and exam: fibromyalgia, distension",103-104; 102,GIT Internal Med p. 74,retained,E06.03,
IM,Before Mid-Module Internal Medicine Extras (GIT Internal Med),C6-14,,duplicate/exclude,6,Red flags before diagnosing IBS,102-103; 97,GIT Internal Med p. 74-75,excluded by original handout,,All items taught in MAIN (IBS list or constipation red flags p97); MAIN's IBS list is broader.
IM,Before Mid-Module Internal Medicine Extras (GIT Internal Med),C6-15,C6-10/11/13/15,include,6,"IBS baseline labs: CBC, ESR/CRP, TSH",104,GIT Internal Med p. 75,retained,E06.03,
IM,Before Mid-Module Internal Medicine Extras (GIT Internal Med),C6-16,C6-16,discrepancy/needs review,6,Rome IV (IM) vs Rome V (MAIN) frequency threshold,102,GIT Internal Med p. 75,review point,R09,
IM,Before Mid-Module Internal Medicine Extras (GIT Internal Med),C6-17,C6-17,discrepancy/needs review,6,Low FODMAP diet: example foods,104,GIT Internal Med p. 75,review point,R10,
IM,Before Mid-Module Internal Medicine Extras (GIT Internal Med),C6-18,C6-18,include,6,"Peppermint oil, TCAs, psychotherapy; probiotics",104-105,GIT Internal Med p. 75,retained,E06.04,
IM,Before Mid-Module Internal Medicine Extras (GIT Internal Med),C6-19,,duplicate/exclude,6,Rifaximin for IBS-D,105,GIT Internal Med p. 75,excluded by original handout,,Duplicate.
IM,Before Mid-Module Internal Medicine Extras (GIT Internal Med),C6-20,C6-20,discrepancy/needs review,6,IBS-C second drug option: linaclotide (IM) vs prucalopride (MAIN),105; 99,GIT Internal Med p. 75,review point,R11,
IM,Before Mid-Module Internal Medicine Extras (GIT Internal Med),C7-00,,no substantive additions,7,chapter-level check,,GIT Internal Med p. whole IM PDF (pp.1-82) keyword-searched,chapter note (original),,Chapter-level 'no additions' row of the original handout; the integrated chapter entry is rewritten for the merged book.
IM,Before Mid-Module Internal Medicine Extras (GIT Internal Med),C8-01,,duplicate/exclude,8,Definition and epidemiology of IBD,116,GIT Internal Med p. 76,excluded by original handout,,Identical text in MAIN.
IM,Before Mid-Module Internal Medicine Extras (GIT Internal Med),C8-02,C8-02/08,include,8,IM pathology/radiology/endoscopy comparison table: UC rectal involvement and collar-button ulcers,117,GIT Internal Med p. 76,retained + review point,"E08.01, R13",E08.01: 'Rectum always involved in UC' (IM p. 76 table) moved to review point R13: book Fig 8.1 says 'typically involved'.; R13: Extended with the rectum row of the same GIT Internal Med p. 76 table (moved out of E08.01).
IM,Before Mid-Module Internal Medicine Extras (GIT Internal Med),C8-03,C8-03,discrepancy/needs review,8,Granulomas in UC,117,GIT Internal Med p. 76,review point,R13,R13: Extended with the rectum row of the same GIT Internal Med p. 76 table (moved out of E08.01).
IM,Before Mid-Module Internal Medicine Extras (GIT Internal Med),C8-04,,duplicate/exclude,8,Diagram: distribution of CD vs UC,117,GIT Internal Med p. 76,excluded by original handout,,Same content as MAIN table.
IM,Before Mid-Module Internal Medicine Extras (GIT Internal Med),C8-05,,duplicate/exclude,8,Clinical features UC and CD; CD vs UC colitis table,116-117,GIT Internal Med p. 77,excluded by original handout,,Identical.
IM,Before Mid-Module Internal Medicine Extras (GIT Internal Med),C8-06,,duplicate/exclude,8,Extra-intestinal manifestations table,118,GIT Internal Med p. 78,excluded by original handout,,Identical.
IM,Before Mid-Module Internal Medicine Extras (GIT Internal Med),C8-07,,duplicate/exclude,8,"Laboratory studies, serology, fecal calprotectin",118,GIT Internal Med p. 78,excluded by original handout,,Identical.
IM,Before Mid-Module Internal Medicine Extras (GIT Internal Med),C8-08,C8-02/08,include,8,Colonoscopic appearance of UC and CD,118,GIT Internal Med p. 78,retained,E08.01,E08.01: 'Rectum always involved in UC' (IM p. 76 table) moved to review point R13: book Fig 8.1 says 'typically involved'.
IM,Before Mid-Module Internal Medicine Extras (GIT Internal Med),C8-09,,duplicate/exclude,8,Barium studies,118,GIT Internal Med p. 78,excluded by original handout,,No content in either.
IM,Before Mid-Module Internal Medicine Extras (GIT Internal Med),C8-10,,duplicate/exclude,8,"Differential diagnosis table (UC, Crohn's colitis, ischemic, microscopic, infectious, amebic, gonococcal, pseudomembranous)",119,GIT Internal Med p. 79,excluded by original handout,,Identical.
IM,Before Mid-Module Internal Medicine Extras (GIT Internal Med),C8-11,C8-11,include,8,Differential diagnosis list: conditions not in MAIN table,119,GIT Internal Med p. 79,retained,E08.02,
IM,Before Mid-Module Internal Medicine Extras (GIT Internal Med),C8-12,,duplicate/exclude,8,Diet and nutrition,119,GIT Internal Med p. 79,excluded by original handout,,Identical.
IM,Before Mid-Module Internal Medicine Extras (GIT Internal Med),C8-13,C8-13/23,include,8,Drug classes list incl. 5-ASA and probiotics,119-120,GIT Internal Med p. 80,retained,E08.03,
IM,Before Mid-Module Internal Medicine Extras (GIT Internal Med),C8-14,C8-14/15,include,8,5-ASA drugs: doses and release sites,119-120,GIT Internal Med p. 80,retained,E08.04,E08.04: Note that the steroid rows of the same table are kept for review (R14).
IM,Before Mid-Module Internal Medicine Extras (GIT Internal Med),C8-15,C8-14/15,include,8,Budesonide,119-120,GIT Internal Med p. 80,retained,E08.04,E08.04: Note that the steroid rows of the same table are kept for review (R14).
IM,Before Mid-Module Internal Medicine Extras (GIT Internal Med),C8-16,,duplicate/exclude,8,"Corticosteroid text (indication, IV hydrocortisone/methylprednisolone, oral prednisone)",119-120,GIT Internal Med p. 80,excluded by original handout,,Identical.
IM,Before Mid-Module Internal Medicine Extras (GIT Internal Med),C8-17,C8-17,discrepancy/needs review,8,Systemic steroid doses in IM drug table,119-120,GIT Internal Med p. 80,review point,R14,
IM,Before Mid-Module Internal Medicine Extras (GIT Internal Med),C8-18,,duplicate/exclude,8,Antibiotics,120,GIT Internal Med p. 80,excluded by original handout,,Identical.
IM,Before Mid-Module Internal Medicine Extras (GIT Internal Med),C8-19,,duplicate/exclude,8,Immunomodulator mechanism and agents,120,GIT Internal Med p. 80,excluded by original handout,,Identical.
IM,Before Mid-Module Internal Medicine Extras (GIT Internal Med),C8-20,C8-20/21,include,8,Immunomodulator doses and 6-mercaptopurine,120,GIT Internal Med p. 80,retained,E08.05,
IM,Before Mid-Module Internal Medicine Extras (GIT Internal Med),C8-21,C8-20/21,include,8,Other biologics and biologic doses,120,GIT Internal Med p. 80-81,retained,E08.05,
IM,Before Mid-Module Internal Medicine Extras (GIT Internal Med),C8-22,,duplicate/exclude,8,"Anti-TNF, anti-adhesion, JAK inhibitors text",120,GIT Internal Med p. 81,excluded by original handout,,Identical.
IM,Before Mid-Module Internal Medicine Extras (GIT Internal Med),C8-23,C8-13/23,include,8,Step-up treatment pyramid by severity,119-120,GIT Internal Med p. 81,retained,E08.03,
IM,Before Mid-Module Internal Medicine Extras (GIT Internal Med),C8-24,,duplicate/exclude,8,Surgical indications UC and CD,121,GIT Internal Med p. 81,excluded by original handout,,Identical.
IM,Before Mid-Module Internal Medicine Extras (GIT Internal Med),C8-25,C8-25,include,8,Complications grouped by disease,121,GIT Internal Med p. 82,retained,E08.06,
IM,Before Mid-Module Internal Medicine Extras (GIT Internal Med),C8-26,,duplicate/exclude,8,Toxic megacolon,121,GIT Internal Med p. 82,excluded by original handout,,Identical.
IM,Before Mid-Module Internal Medicine Extras (GIT Internal Med),C8-27,,duplicate/exclude,8,Colon cancer risk and surveillance in UC,121,GIT Internal Med p. 82,excluded by original handout,,Identical.
IM,Before Mid-Module Internal Medicine Extras (GIT Internal Med),C9-00,,no substantive additions,9,chapter-level check,,GIT Internal Med p. whole IM PDF (pp.1-82) keyword-searched,chapter note (original),,Chapter-level 'no additions' row of the original handout; the integrated chapter entry is rewritten for the merged book.
IM,Before Mid-Module Internal Medicine Extras (GIT Internal Med),C10-00,,no substantive additions,10,chapter-level check,,GIT Internal Med p. whole IM PDF (pp.1-82) keyword-searched,chapter note (original),,Chapter-level 'no additions' row of the original handout; the integrated chapter entry is rewritten for the merged book.
IM,Before Mid-Module Internal Medicine Extras (GIT Internal Med),C11-00,,no substantive additions,11,chapter-level check,,GIT Internal Med p. whole IM PDF (pp.1-82) keyword-searched,chapter note (original),,Chapter-level 'no additions' row of the original handout; the integrated chapter entry is rewritten for the merged book.
IM,Before Mid-Module Internal Medicine Extras (GIT Internal Med),C12-00,,no substantive additions,12,chapter-level check,,GIT Internal Med p. whole IM PDF (pp.1-82) keyword-searched,chapter note (original),,Chapter-level 'no additions' row of the original handout; the integrated chapter entry is rewritten for the merged book.
IM,Before Mid-Module Internal Medicine Extras (GIT Internal Med),C13-00,,no substantive additions,13,chapter-level check,,GIT Internal Med p. whole IM PDF (pp.1-82) keyword-searched,chapter note (original),,Chapter-level 'no additions' row of the original handout; the integrated chapter entry is rewritten for the merged book.
IM,Before Mid-Module Internal Medicine Extras (GIT Internal Med),C14-00,,no substantive additions,14,chapter-level check,,GIT Internal Med p. whole IM PDF (pp.1-82) keyword-searched,chapter note (original),,Chapter-level 'no additions' row of the original handout; the integrated chapter entry is rewritten for the merged book.
IM,Before Mid-Module Internal Medicine Extras (GIT Internal Med),C15-00,,no substantive additions,15,chapter-level check,,GIT Internal Med p. whole IM PDF (pp.1-82) keyword-searched,chapter note (original),,Chapter-level 'no additions' row of the original handout; the integrated chapter entry is rewritten for the merged book.
OS,Other Subjects Capsule (GIT Others),PH-01,,exclude,3,PPI members and mechanism,44,GIT Others p. 1,excluded by original handout,,duplicate: reproduced verbatim in book
OS,Other Subjects Capsule (GIT Others),PH-02,,exclude,3,PPI activation / anti-H. pylori effect,45,GIT Others p. 1,excluded by original handout,,duplicate: reproduced verbatim in book
OS,Other Subjects Capsule (GIT Others),PH-03,,exclude,3,"PPI pharmacokinetics (enteric coating, timing, 24 h duration, hepatic metabolism)",45,GIT Others p. 1,excluded by original handout,,duplicate: reproduced verbatim in book
OS,Other Subjects Capsule (GIT Others),PH-04,,exclude,3,PPI adverse effects,45,GIT Others p. 1,excluded by original handout,,duplicate: reproduced verbatim in book
OS,Other Subjects Capsule (GIT Others),PH-05,,exclude,3,P-CAB vs PPI comparison table,46,GIT Others p. 2,excluded by original handout,,duplicate: reproduced verbatim in book (source 'hrs33' is a stray footnote digit)
OS,Other Subjects Capsule (GIT Others),PH-06,,exclude,3,"H2 antagonists: members, mechanism, nocturnal vs meal-stimulated",46,GIT Others p. 2,excluded by original handout,,duplicate: reproduced verbatim in book
OS,Other Subjects Capsule (GIT Others),PH-07,,exclude,3,H2 blocker adverse effects (cimetidine),46,GIT Others p. 2,excluded by original handout,,duplicate: reproduced verbatim in book
OS,Other Subjects Capsule (GIT Others),PH-08,,exclude,3,Individual H2 antagonists table + elimination,46,GIT Others p. 3,excluded by original handout,,duplicate: reproduced verbatim in book
OS,Other Subjects Capsule (GIT Others),PH-09,,exclude,3,"Advantages of PPIs/P-CABs; indications (PU, H. pylori, GERD, ZES, stress ulcer, varices, aspiration)",47,GIT Others p. 3,excluded by original handout,,duplicate: reproduced verbatim in book (varices indication also in ch23: 'PPI IV or H2 blockers')
OS,Other Subjects Capsule (GIT Others),PH-10,,exclude,3,Mucosal protectives table,48,GIT Others p. 4,excluded by original handout,,duplicate: reproduced verbatim in book
OS,Other Subjects Capsule (GIT Others),PH-11,,exclude,3,Anti-H. pylori regimens,48,GIT Others p. 5,excluded by original handout,,duplicate: reproduced verbatim in book
OS,Other Subjects Capsule (GIT Others),PH-12,,exclude,3,"Antacid actions, uses, drug interactions",48,GIT Others p. 5,excluded by original handout,,duplicate: reproduced verbatim in book
OS,Other Subjects Capsule (GIT Others),PH-13,,exclude,3,Types and choice of antacids,49,GIT Others p. 6,excluded by original handout,,duplicate: reproduced verbatim in book
OS,Other Subjects Capsule (GIT Others),PH-14,,exclude,3,NSAID ulcer precautions,50,GIT Others p. 6,excluded by original handout,,duplicate: reproduced verbatim in book
OS,Other Subjects Capsule (GIT Others),PH-15,C3-D1,discrepancy,3,Misoprostol prostaglandin class,37,GIT Others p. 4,review point,R02,
OS,Other Subjects Capsule (GIT Others),PH-16,C3-D2,discrepancy,3,Levofloxacin-based H. pylori regimen dosing,41,GIT Others p. 5,review point,R04,
OS,Other Subjects Capsule (GIT Others),PH-17,,exclude,3,MCQ,45,GIT Others p. 7,excluded by original handout,,MCQ duplicate: keyed fact already in book
OS,Other Subjects Capsule (GIT Others),PH-18,,exclude,3,MCQ,45,GIT Others p. 8,excluded by original handout,,MCQ duplicate: keyed fact already in book
OS,Other Subjects Capsule (GIT Others),PH-19,,exclude,3,MCQ,46,GIT Others p. 9,excluded by original handout,,MCQ duplicate: keyed fact already in book
OS,Other Subjects Capsule (GIT Others),PH-20,,exclude,3,MCQ,45,GIT Others p. 10,excluded by original handout,,MCQ duplicate: keyed fact already in book
OS,Other Subjects Capsule (GIT Others),PH-21,,exclude,3,MCQ,45,GIT Others p. 11,excluded by original handout,,MCQ duplicate: keyed fact already in book
OS,Other Subjects Capsule (GIT Others),PH-22,,exclude,3,MCQ,46,GIT Others p. 11,excluded by original handout,,MCQ duplicate: keyed fact already in book
OS,Other Subjects Capsule (GIT Others),PH-23,,exclude,3,MCQ,46,GIT Others p. 12,excluded by original handout,,MCQ duplicate: keyed fact already in book
OS,Other Subjects Capsule (GIT Others),PH-24,,exclude,3,MCQ,48,GIT Others p. 12,excluded by original handout,,MCQ duplicate: keyed fact already in book
OS,Other Subjects Capsule (GIT Others),PH-25,,exclude,5,MCQ: over-suppression (P-CAB + H2 blocker) → bacterial overgrowth → diarrhea,88,GIT Others p. 12,excluded by original handout,,MCQ duplicate: PPI/hypochlorhydria as cause of bacterial overgrowth already in book
OS,Other Subjects Capsule (GIT Others),PH-26,C3-1,include,3,PPI long-term adverse effect: osteoporosis,45,GIT Others p. 11,retained,E03.08,
OS,Other Subjects Capsule (GIT Others),TU-01,,exclude,4,Esophageal benign tumours,71,GIT Others p. 13,excluded by original handout,,duplicate
OS,Other Subjects Capsule (GIT Others),TU-02,,exclude,4,Esophageal malignant tumour classification,71,GIT Others p. 13,excluded by original handout,,low value; book already states sarcomas rare
OS,Other Subjects Capsule (GIT Others),TU-03,,exclude,4,Esophageal carcinoma presentation/prognosis/diagnosis,71,GIT Others p. 13,excluded by original handout,,duplicate (diagnosis by endoscopic biopsy/imaging also in Ch2 p.28-29)
OS,Other Subjects Capsule (GIT Others),TU-04,,exclude,4,"SCC vs adenocarcinoma epidemiology, risk factors",71,GIT Others p. 13,excluded by original handout,,duplicate
OS,Other Subjects Capsule (GIT Others),TU-05,,exclude,4,Esophageal carcinoma gross,71,GIT Others p. 13,excluded by original handout,,duplicate
OS,Other Subjects Capsule (GIT Others),TU-06,C4-1,include,4,Esophageal SCC microscopy,71,GIT Others p. 14,retained,E04.01,
OS,Other Subjects Capsule (GIT Others),TU-07,C4-2,include,4,Esophageal carcinoma complications,71,GIT Others p. 14,retained,E04.02,
OS,Other Subjects Capsule (GIT Others),TU-08,,exclude,2,Esophageal carcinoma spread,27,GIT Others p. 14,excluded by original handout,,duplicate
OS,Other Subjects Capsule (GIT Others),TU-09,,exclude,4,Gastric polyps,72,GIT Others p. 14,excluded by original handout,,duplicate
OS,Other Subjects Capsule (GIT Others),TU-10,,exclude,4,Gastric adenocarcinoma epidemiology,72,GIT Others p. 15,excluded by original handout,,duplicate
OS,Other Subjects Capsule (GIT Others),TU-11,,exclude,3,Gastric cancer diet/socio-economic,62,GIT Others p. 15,excluded by original handout,,duplicate in substance; residual items low value
OS,Other Subjects Capsule (GIT Others),TU-12,C4-3,include,4,H. pylori carcinogenic sequence / precancerous lesions,72,GIT Others p. 15,retained,E04.03,"E04.03: OS C4-3 kept separate from IM C3-14 (E03.04): partial overlap, distinct facts; both carry a cross-reference."
OS,Other Subjects Capsule (GIT Others),TU-13,C3-D3,discrepancy,3,Gastric cancer site,62,GIT Others p. 15,review point,R06,
OS,Other Subjects Capsule (GIT Others),TU-14,,exclude,4,"Gastric cancer gross (early/late, exophytic, linitis)",72,GIT Others p. 16,excluded by original handout,,duplicate
OS,Other Subjects Capsule (GIT Others),TU-15,C4-5,include,4,Malignant gastric ulcer size,72,GIT Others p. 16,retained,E04.05,
OS,Other Subjects Capsule (GIT Others),TU-16,C4-4,include,4,Lauren classification,72,GIT Others p. 16,retained,E04.04,
OS,Other Subjects Capsule (GIT Others),TU-17,,exclude,4,Intestinal vs diffuse type,72,GIT Others p. 16,excluded by original handout,,duplicate
OS,Other Subjects Capsule (GIT Others),TU-18,,exclude,3,Gastric cancer direct/lymphatic spread,62,GIT Others p. 16,excluded by original handout,,largely duplicate; residual items low value
OS,Other Subjects Capsule (GIT Others),TU-19,C4-6,include,4,Gastric cancer blood spread,73,GIT Others p. 16,retained,E04.06,
OS,Other Subjects Capsule (GIT Others),TU-20,,exclude,4,Krukenberg,73,GIT Others p. 16,excluded by original handout,,duplicate
OS,Other Subjects Capsule (GIT Others),TU-21,,exclude,4,Small intestinal tumours,73,GIT Others p. 17,excluded by original handout,,low value general statement
OS,Other Subjects Capsule (GIT Others),TU-22,,exclude,4,Large-bowel tumour classification,73,GIT Others p. 17,excluded by original handout,,duplicate
OS,Other Subjects Capsule (GIT Others),TU-23,C4-7,include,4,Colonic adenoma epidemiology,73,GIT Others p. 17,retained,E04.07,
OS,Other Subjects Capsule (GIT Others),TU-24,,exclude,4,Tubular adenoma features,73,GIT Others p. 17,excluded by original handout,,duplicate
OS,Other Subjects Capsule (GIT Others),TU-25,C4-8,include,4,Tubular vs villous: size & malignant risk,73,GIT Others p. 18,retained,E04.08,E04.08: Table row 'Number (multiple vs solitary)' removed: already on book p. 73 (audit B §5.1).
OS,Other Subjects Capsule (GIT Others),TU-26,,exclude,14,Tubulovillous adenoma,190,GIT Others p. 18,excluded by original handout,,duplicate in substance
OS,Other Subjects Capsule (GIT Others),TU-27,,exclude,4,Adenoma mutations; inherited polyposis syndromes list,73,GIT Others p. 18,excluded by original handout,,duplicate
OS,Other Subjects Capsule (GIT Others),TU-28,,exclude,4,FAP core facts,74,GIT Others p. 19,excluded by original handout,,duplicate
OS,Other Subjects Capsule (GIT Others),TU-29,C14-1,include,14,FAP polyp histology,190,GIT Others p. 19,retained,E14.01,
OS,Other Subjects Capsule (GIT Others),TU-30,C15-1,include,15,Proportion adenocarcinoma,196,GIT Others p. 19,retained,E15.01,
