id,source_pages_hapatology,source_excerpt,topic,book_chapter,book_printed_pages,book_has,new_contribution,evidence_type,agent_decision,final_decision,reason,handout_location
B1-16,19,"few reports document chronic genotype 3 hepatitis E exclusively in immunocompromised patients (including organ-transplant recipients, patients receiving cancer chemotherapy, and HIV-infected patients).",HEV chronicity in immunocompromised,19 Acute Hepatitis,"249, 254, 258",p249: 'It never causes chronicity'; p254/p258: except some immunosuppressed solid-organ transplant recipients.,"Chronic hepatitis E is due to genotype 3 and occurs only in immunocompromised patients: organ-transplant recipients, patients on cancer chemotherapy and HIV-infected patients.",text,include,include,"More specific (genotype, chemotherapy, HIV) than book's transplant-only statement.",Ch 19 · Virology and transmission
B1-17,19,"Primarily in adults,, rare in children",HEV age distribution,19 Acute Hepatitis,"249, 254","not found (searched: adults, children with HEV)",Hepatitis E affects primarily adults and is rare in children.,text,include,include,"Small epidemiological contrast with HAV (children/young adults, p252).",Ch 19 · Virology and transmission
B1-18,20,Mode of transmission is parenteral by contaminated blood or blood products. Its prevalence in blood donors is rare (1%).,Hepatitis G,18 Liver Disease Assessment,249,"p249: ssRNA, parenteral, recovery, chronicity very rare. Not found: blood products, 1% donors (searched: 'Hepatitis G', HGV, blood donor)",Hepatitis G is transmitted by contaminated blood or blood products; its prevalence in blood donors is about 1%.,text,include,include,Minor detail; low priority.,Ch 19 · Virology and transmission
B1-19,20,Marked elevation of GGT and ALP. Bilirubin may be normal (partial obstruction allows passage of bilirubin and stimulates synthesis of ALP and GGT).,Hepatic infiltration / space-occupying lesions - lab pattern,18 Liver Disease Assessment,"245, 246, 249","not found (searched: infiltrat, 'space occupying', secondar, metasta, CEA; checked Ch 26 HCC 332-336 for ALP/GGT pattern)","In hepatic infiltration by space-occupying lesions (primary or secondary tumours, cysts, lymph nodes) ALP and GGT are markedly raised while bilirubin may be normal, because partial obstruction lets bilirubin pass yet stimulates ALP/GGT synthesis; AST/ALT are normal or slightly raised (AST>ALT); AFP rises in HCC and CEA in GIT cancer with liver secondaries.",text,include,include,Whole lab pattern absent from book.,Ch 18 · Liver function tests
B1-20,20,Laboratory findings of liver cirrhosis: Albumin is low and gamma globulin is high with reversed A/G ratio,Lab findings of cirrhosis,18 Liver Disease Assessment,249,"p249: reproduced essentially verbatim (albumin, AST>ALT, ALP, GGT, PT, platelets/thrombopoietin, SPE beta-gamma bridge, AFP).",-,text,exclude,exclude,Already covered.,
B1-21,21,Laboratory findings of chronic hepatitis • Albumin is low and gamma globulin is high (IgG mainly).,Chronic hepatitis definition and labs,18 Liver Disease Assessment,"249, 250","p249-250: definition (>=6 months), causes, lab findings, AIH type 1/2 autoantibodies reproduced verbatim.",-,text,exclude,exclude,Already covered.,
B1-22,21,Differentiation between most common types of chronic hepatitis ... Sex Female Male Equal ... Risk of cancer Low High High,AIH vs HBV vs HCV chronic hepatitis table,18 Liver Disease Assessment,"250, 275","p250: autoantibodies low titre in viral; p275: AIH females 70%, 15-25 years. Comparison table not found (checked bookimg p250; searched: 'Risk of cancer', 'Autoimmune diseases', Male)","Chronic hepatitis comparison: AIH - female, 15-25 years, frequent associated autoimmune disease, high-titre ANA/ASMA/LKM, low cancer risk; HBV - male, older, HBsAg+, autoimmune disease rare, low/absent autoantibodies, high cancer risk; HCV - both sexes equally, all ages, anti-HCV+, autoimmune disease occasional, low/absent autoantibodies, high cancer risk.",text,include,include,Comparative table absent; sex/age/cancer-risk contrasts are new.,Ch 18 · Viral hepatitis markers
B1-23,22,"TABLE 10.2 Autoimmune Hepatitis Subtypes ... ANA alone, 10% ASMA alone, 35% Both positive, 50% Both negative, 5% ... Progression to cirrhosis (approximate %) 45 80","AIH subtypes - antibody profile, IgG, cirrhosis",21 Autoimmune Hepatitis,275,"p275: type 1 ANA/ASMA, type 2 LKM-1/LC-1; IgG >1.5x ULN; plasma-cell-rich interface hepatitis. Not found: antibody-combination percentages, IgG by type, progression to cirrhosis 45%/80% (searched: 45, 80%, cirrhosis in Ch 21)","Type 1 AIH: ANA alone 10%, ASMA alone 35%, both 50%, both negative 5%; IgG markedly raised (+++); approximate progression to cirrhosis 45%. Type 2 AIH: LKM-1 and LC-1, IgG less raised (+), paediatric (2-18 years), progression to cirrhosis about 80%; both show hepatitis with prominent plasma cells.",image-table,include,include,Image table content absent from book.,Ch 21 · AIH subtypes
B1-24,22,Approximate frequency 95% 5%,AIH type 1 frequency,21 Autoimmune Hepatitis,275,p275: Type 1 'accounts for approximately 80-90% of cases'.,Source image table gives type 1 AIH approximate frequency 95% (type 2 5%); book p275 gives 80-90%.,image-table,discrepancy,discrepancy,Different figures for the same point; not adjudicated.,
B1-25,22,Serum Protein Electrophoresis--Normal Pattern ... CIRRHOSIS,SPE figures,18 Liver Disease Assessment,249,p249: SPE polyclonal gamma rise with beta-gamma bridge described in text.,-,image-figure,exclude,exclude,Figure illustrates text already in book; optional figure only.,
B1-26,22,QUIZ exam 1- Which of the following is associated with conjugated hyperbilirubinemia?,Quiz items,18 Liver Disease Assessment,"245, 246","p245-246: Gilbert, Crigler-Najjar, Dubin-Johnson, cholestasis covered.",-,text,exclude,exclude,Quiz questions; no unique fact.,
B1-27,14,Marked elevation(10-100 times) of ALT and AST and ALT/AST ratio>1 due to slower clearance of ALT.,Pre-icteric/icteric stage labs of acute viral hepatitis,18 Liver Disease Assessment,"244, 246, 247","p244 (ALT half-life, slower clearance), p246-247 (pre-icteric and icteric findings) verbatim.",-,text,exclude,exclude,Already covered.,
B1-28,"15, 16, 17",Hepatitis B core antibody (HBcAb or anti-HBc): Appears at the onset of symptoms in acute hepatitis B and persists for life.,HAV/HBV serological markers (general),18 Liver Disease Assessment,"247, 248","p247-248: HAV IgM/IgG/total, HBsAg, anti-HBs, anti-HBc total/IgM, HBeAg, anti-HBe, HBV DNA verbatim.",-,text,exclude,exclude,Already covered.,
B1-29,23,Acute damage of the liver cells can be caused by several agents,Causes of acute hepatitis / etiology,19 Acute Hepatitis,252,p252 verbatim.,-,text,exclude,exclude,Already covered.,
B1-30,"23, 24, 25",The disease is maximally infectious just before the onset of jaundice.,"Hepatitis A (epidemiology, labs, course, prevention, vaccine)",19 Acute Hepatitis,"252, 253, 254",p252-254 verbatim incl. Fig 19.1.,-,text,exclude,exclude,Already covered.,
B1-31,25,"It has mortality from fulminant hepatic failure of 1-2%, which rises to 20% in pregnant women",Hepatitis E (Ch 19 section),19 Acute Hepatitis,254,p254 verbatim.,-,text,exclude,exclude,Already covered.,
B1-32,"26, 27",HCV has at least 8 major genotypes. Genotype 4 is the most prevalent in Egypt .,HBV/HDV/HCV virology and course (Ch 19 section),19 Acute Hepatitis,"254, 255, 256, 257","p254-257 verbatim incl. Fig 19.2-19.5 (HBV structure, HBV serology, HCV genome, HCV serology).",-,text,exclude,exclude,Already covered.,
B1-33,28,HDV super-infection causes chronic hepatitis in about 70%.,Clinical picture and sequelae of viral hepatitis,19 Acute Hepatitis,257,p257 verbatim.,-,text,exclude,exclude,Already covered.,
B1-34,"29, 30, 31",Centrizonal necrosis & cholestasis are most marked in zone 3.,"Characteristics table, pathology, investigations, viral markers",19 Acute Hepatitis,"258, 259",p258-259 verbatim (book table adds a transmission row).,-,text,exclude,exclude,Already covered.,
B1-35,31,Rest: Bed rest is mandatory until the patient is free of jaundice & free of symptoms and the bilirubin is less than 1.5mg/dl.,Rest in acute viral hepatitis,19 Acute Hepatitis,"253, 259","p259 Treatment (acute attack): 'Normal activity as tolerated, patient should be adequately hydrated...'; p253 (HAV): 'rest and dietary measures are unhelpful'.",Source (HAP 31) states bed rest is mandatory until jaundice and symptoms clear and bilirubin <1.5 mg/dl; book p259 advises normal activity as tolerated.,text,discrepancy,discrepancy,"Same point, opposing advice; the source itself also says rest is unhelpful for HAV (HAP 24). Not adjudicated.",
B1-36,31,HBV: Pre-exposure HBV recombinant vaccines (or Plasma derived ) are both effective & safe.,"Prevention (HAV/HEV/HBV vaccine, HBIG, HCV)",19 Acute Hepatitis,"259, 260",p259-260 verbatim.,-,text,exclude,exclude,Already covered.,
B1-37,"32, 33","Unlike hepatitis viruses A, B, C, D and E, herpes viruses are not hepatotropic",Herpes/EBV/CMV/HSV hepatitis,19 Acute Hepatitis,"260, 261",p260-261 verbatim.,-,text,exclude,exclude,Already covered.,
B1-38,"18, 31",HCV-Ab test is usually positive within 2-5 months after infection.,HCV antibody timing (internal inconsistency),18 Liver Disease Assessment,"249, 259",Book repeats both source values: p248-249 '2-5 months' and p259 '6-8 weeks'.,-,text,exclude,exclude,Source-internal inconsistency (HAP 18 vs HAP 31) mirrored in book; not a source-vs-book discrepancy. Flag for editor.,
B2-01,34,"In the severe form, the fibrous septa extend inside the lobule to form rosette formation and bridging fibrosis.",Chronic hepatitis pathology (severe form),19 Acute Hepatitis,263,"Advanced disease: extensive interface hepatitis, confluent necrosis, bridging fibrosis, regenerative nodules, cirrhosis (p263); no mention of rosettes (searched: rosette)","In severe chronic hepatitis, fibrous septa extend into the lobule producing rosette formation along with bridging fibrosis.",text,include,include,Rosette formation is a histological descriptor absent from the book; minor addition.,Ch 19 · Chronic hepatitis
B2-02,34,The Metavir Score helps interpretation of the liver biopsy... Activity score scales from A0 (no activity) to A3... F0 (no fibrosis) to F4 (cirrhosis).,"Chronic hepatitis definition, etiology, pathology, METAVIR",19 Acute Hepatitis,"262, 263","Definition >6 months, etiology list incl. methyldopa/isoniazid/methotrexate/nitrofurantoin, interface (piecemeal) hepatitis, METAVIR A0–A3/F0–F4 fully covered (p262–263)",,text,exclude,exclude,Already covered (book is more detailed).,
B2-03,35,"Its overall prevalence in Egypt is 5%, mainly genotype D.",HBV prevalence in Egypt,20 Chronic Hepatitis B,265,'In Egypt ... currently estimated to be below 2% in the general population. HBV genotype D is the predominant genotype' (p265),Source gives Egyptian HBV prevalence as 5%; book gives <2%.,text,discrepancy,discrepancy,Different prevalence figures for the same point (book notes decline after 1992 vaccination).,
B2-04,35,This occurs more readily with neonates (90%) or children (20-50% below the age of 5 years) than when HBV is acquired in adult life (<10%).,Age-dependent chronicity of HBV,20 Chronic Hepatitis B,"265, 248","Neonates ~90%, children <5 y 20–30%, adults <5% (p265); acute hepatitis chapter says chronic hepatitis in 5–10% (p248)","Source: children <5 y 20–50%, adults <10%; book: children 20–30%, adults <5%.",text,discrepancy,discrepancy,Numeric mismatch for children and adult chronicity rates.,
B2-05,35,More common in males.,Sex distribution of chronic HBV,20 Chronic Hepatitis B,265,"not found (searched: males, male, sex in Ch 20)",Chronic hepatitis B is more common in males.,text,include,include,Epidemiological fact absent from book.,Ch 20 · Natural history of HBV
B2-06,35,About 50% of HBsAg carriers have evidence of viral replication (HBeAg+/HBV DNA+).,Proportion of carriers with replication,20 Chronic Hepatitis B,"265, 266","not found (searched: 50%, replication, carriers)",About 50% of HBsAg carriers have evidence of viral replication (HBeAg positive / HBV DNA positive).,text,include,include,Specific proportion absent from book.,Ch 20 · Natural history of HBV
B2-07,35,About 20% of HBV carriers develop cirrhosis within 5 years of disease onset.,Rate of progression to cirrhosis in HBV,20 Chronic Hepatitis B,265,"Book lists cirrhosis complications as presentations but gives no progression rate (searched: within 5 years, 20%, cirrhosis)",About 20% of HBV carriers develop cirrhosis within 5 years of disease onset.,text,include,include,Natural-history figure absent from book.,Ch 20 · Natural history of HBV
B2-08,35,"often in the third to fifth decade in life there is a change in host immunity, so that acute hepatitis develops",Immune-tolerant phase evolution,20 Chronic Hepatitis B,266,"Immune-tolerant (HBeAg+ chronic infection) described; common in those infected at birth; mostly monitored (p266). No timing of loss of tolerance (searched: decade, third)","Patients in the immune-tolerant phase (mostly infected perinatally) often lose tolerance in the third to fifth decade, when acute hepatitis develops and chronic hepatitis can follow.",text,include,include,Adds timing/transition of immune-tolerant phase.,Ch 20 · Natural history of HBV
B2-09,35,Usually discovered when they are screened before donating blood for transfusion.,Inactive carrier detection,20 Chronic Hepatitis B,267,"Inactive carrier (HBeAg-negative chronic infection) features described (p267); mode of discovery not given (searched: donat, screen)",Inactive HBV carriers are usually discovered on screening before blood donation.,text,include,include,Small clinical-context addition.,Ch 20 · Natural history of HBV
B2-10,35,"with levels of HBV DNA, which are below 400 IU/L in their serum.",Inactive carrier HBV DNA threshold,20 Chronic Hepatitis B,"266, 267","HBV DNA usually <2,000 IU/mL (p266 table, p267)","Source gives inactive-carrier HBV DNA as below 400 IU/L; book gives <2,000 IU/mL.",text,discrepancy,discrepancy,Different threshold (and unit IU/L in source looks unusual).,
B2-11,35,"some patients may rarely have episodes of reactive hepatitis such as during chemotherapy for cancer or with bone marrow transplantation, so antiviral prophylaxis is indicated.",HBV reactivation and prophylaxis,20 Chronic Hepatitis B,"267, 268, 269","Reactivation may occur during chemotherapy/immunosuppressive therapy (p267, p268); 'Planned immunosuppressive therapy' listed as a factor in treatment decisions (p269); no explicit statement that prophylaxis is indicated (searched: prophyla, bone marrow)","Inactive carriers may reactivate during cancer chemotherapy or bone marrow transplantation, so antiviral prophylaxis is indicated in these settings.",text,include,include,Book implies but does not state antiviral prophylaxis; bone marrow transplantation not named.,Ch 20 · Natural history of HBV
B2-12,35,There is an annual spontaneous clearance rate of HBsAg of 1-2%.,Spontaneous HBsAg clearance,20 Chronic Hepatitis B,267,'Spontaneous HBsAg clearance occurs in approximately 1% per year' (p267),Source: 1–2% per year; book: ~1% per year.,text,discrepancy,discrepancy,Minor numeric difference on same point.,
B2-13,36,Diagnosis of HBV infection depends on the detection of HBsAg... Hepatocytes with groundglass appearance represent the production of HBsAg,"HBV investigations, treatment indications, aims",20 Chronic Hepatitis B,"268, 269","HBsAg >6 months, investigations list, ground-glass hepatocytes, treatment indications (DNA >2000, ALT, fibrosis, cirrhosis regardless of ALT), goals, HBeAg seroconversion, HBsAg loss (p268–269)",,text,exclude,exclude,Already covered.,
B2-14,36,"If HBeAg disappears, remission is usually sustained for many years.",Durability of HBeAg loss,20 Chronic Hepatitis B,269,"HBeAg seroconversion described as an important treatment milestone (p269); durability not stated (searched: sustained, remission)","When HBeAg disappears (seroconversion), remission is usually sustained for many years, although most patients remain HBsAg positive.",text,include,include,Adds prognostic meaning of HBeAg loss.,Ch 20 · Treatment of HBV
B2-15,36,"Younger patients with higher serum aminotransferase values (3x the upper limit of normal), with viral loads <10 IU/ml respond best.",Predictors of interferon response in HBV,20 Chronic Hepatitis B,271,"Best candidates: younger patients, elevated ALT, lower HBV DNA, genotypes A/B (p271)",Best interferon response is seen in younger patients with ALT about 3x the upper limit of normal.,text,include,include,Adds the 3x ULN ALT threshold; the viral-load figure '<10 IU/ml' is omitted because it appears garbled.,Ch 20 · Treatment of HBV
B2-16,36,Pegylated α 2a interferon (180 μg once a week subcutaneously) gives response rates of 25-45% after 48 weeks,Peg-IFN response rate in HBV,20 Chronic Hepatitis B,"270, 271","Dose 180 μg weekly for 48 weeks, advantages, adverse effects covered (p270–271); no response rate (searched: 25, 40%, 45)",Pegylated interferon α-2a for 48 weeks gives response rates (HBeAg disappearance) of about 25–45%.,text,include,include,Response-rate figure absent. Source itself gives two slightly different ranges (25–45% and 25–40%).,Ch 20 · Treatment of HBV
B2-17,37,"It can also be used in patients with lamivudine mutations, but not on its own for adefovir mutations.",Tenofovir in resistant HBV,20 Chronic Hepatitis B,270,"Tenofovir 300 mg, TAF 25 mg, monitoring renal/phosphate/BMD covered; entecavir 1 mg for lamivudine resistance (p270); tenofovir use in resistance not stated (searched: mutation, resistance)","Tenofovir can be used in patients with lamivudine-resistant mutations, but not on its own for adefovir-resistant mutations.",text,include,include,Resistance-specific use absent.,Ch 20 · Treatment of HBV
B2-18,37,Serum HBV DNA becomes negative in 67% (HBeAg-positive patients) and 90% (HBeAg-negative patients) by 48 weeks.,Entecavir efficacy,20 Chronic Hepatitis B,270,"Entecavir 0.5 mg/1 mg, highly effective, very low resistance (p270); no efficacy figures (searched: 67, 48 weeks)","With entecavir, serum HBV DNA becomes negative by 48 weeks in 67% of HBeAg-positive and 90% of HBeAg-negative patients.",text,include,include,Quantitative efficacy absent.,Ch 20 · Treatment of HBV
B2-19,37,"Lamivudine, 100 mg/day given orally, is well tolerated. However there is the problem of viral resistance due to YMDD mutant.",Lamivudine resistance mechanism,20 Chronic Hepatitis B,270,"Lamivudine listed among drugs no longer first-line because of high resistance (p270); YMDD not named (searched: YMDD, mutant)",Lamivudine (100 mg/day) is well tolerated but limited by viral resistance due to the YMDD mutant.,text,include,include,Names the resistance mutation; dose absent. Lamivudine is outdated as first-line (book).,Ch 20 · Treatment of HBV
B2-20,37,Hepatitis Delta could be treated by Pegylated interferon alpha or by a new oral antiviral Bulevirtide,HDV treatment,20 Chronic Hepatitis B,271,Peg-IFN-α and bulevirtide listed (p271),,text,exclude,exclude,Already covered.,
B2-21,37,HCV Infection has the propensity to become a chronic hepatitis in 80%of cases... Hepatocellular carcinoma occurs in about 15% of cirrhotic patients.,Chronic HCV clinical features and extrahepatic manifestations,20 Chronic Hepatitis B,"271, 272","Chronic HCV section is inside Ch 20 (p271–273); clinical features reproduced verbatim; extrahepatic list (cryoglobulinemia, MPGN, PCT, NHL, vasculitis, DM) (p272)",,text,exclude,exclude,Already covered.,
B2-22,38,HCV Ab by ELISA to indicate infection or exposure. HCV RNA by PCR to indicate viral replication.,Chronic HCV diagnosis,20 Chronic Hepatitis B,272,"Anti-HCV, HCV RNA PCR, biopsy findings, ALT pattern reproduced (p272)",,text,exclude,exclude,Already covered.,
B2-23,38,DAAs target specific non-structural (NS) proteins that are vital to the replication of HCV and result in disruption of viral replication and infection.,Mechanism of DAAs,20 Chronic Hepatitis B,"272, 256","DAAs revolutionized treatment, SVR >95% (p272); HCV genome encodes non-structural proteins (p256); DAA mechanism not stated (searched: non-structural, NS protein, mechanism)","DAAs act by targeting specific HCV non-structural (NS) proteins that are vital for viral replication, thereby disrupting replication and infection.",text,include,include,Mechanism absent from book.,Ch 20 · Hepatitis C (within this chapter)
B2-24,38,"400mg tablet once daily with or without food ... Adverse effects in 10% of cases: fatigue, headache, anorexia & insomnia.",Sofosbuvir details,20 Chronic Hepatitis B,272,"Sofosbuvir/Velpatasvir 12 weeks named as first-line (p272); no dose or adverse effects (searched: sofosbuvir, 400 mg)","Sofosbuvir is pangenotypic and the backbone of most regimens: 400 mg once daily with or without food; used with care in advanced liver disease; adverse effects (~10%) include fatigue, headache, anorexia and insomnia.",text,include,include,Drug dose/adverse effects absent.,Ch 20 · Hepatitis C (within this chapter)
B2-25,38,"Daclatasvir: 1 tablets, 60mg each, are given once daily ... Sofosbuvir-Ledipasvir (Harvoni): One tablet (400 mg Sofosbuvir-90 mg Ledipasvir), once daily.",Daclatasvir / ledipasvir doses,20 Chronic Hepatitis B,272,Book mentions Sofosbuvir/Daclatasvir and Sofosbuvir/Ledipasvir as earlier combinations largely replaced (p272); no doses,"Daclatasvir is given as 60 mg once daily; ledipasvir is available only as a fixed-dose tablet with sofosbuvir (400 mg/90 mg, Harvoni) once daily.",text,include,exclude,Doses absent; mark program-specific/older regimen (book states these have largely been replaced). | Central review: doses of older DAA combinations the book says are largely replaced; low value.,
B2-26,38,"Ribavirin ... 600 to 1200mg/day orally according to weight. AE: hemolytic anemia, teratogenesis & causes sperm abnormalities.",Ribavirin dose and adverse effects,20 Chronic Hepatitis B,273,"Ribavirin used only in selected difficult-to-treat patients (p273); no dose or AEs (searched: hemolytic, teratogen, sperm)","Ribavirin (adjuvant) is dosed at 600–1200 mg/day orally according to weight; adverse effects are hemolytic anemia, teratogenicity and sperm abnormalities.",text,include,include,Clinically important toxicity absent.,Ch 20 · Hepatitis C (within this chapter)
B2-27,38,"Pegylated interferon: α 2a (Pegasys) 180 μg/week SC, or α 2b (Pegintron) 1.5 μg/Kg/ week SC... The new treatment trend is for IFN free regimens",Peg-IFN in HCV,20 Chronic Hepatitis B,273,Peg-IFN no longer recommended for routine HCV treatment (p273),,text,exclude,exclude,Outdated for HCV; book already states IFN-free approach.,
B2-28,39,"nosocomial infection due to medical procedures performed without appropriate cleaning or disinfection ... such as in circumcision, dentistry practices",Egypt HCV transmission factors,20 Chronic Hepatitis B,273,"Book attributes epidemic to inadequately sterilized needles in antischistosomal campaigns (p273); other nosocomial routes not given (searched: circumcision, dentist, nosocomial)","Besides the parenteral antischistosomal campaigns, Egypt's high HCV prevalence is partly due to nosocomial infection from inadequately disinfected equipment (e.g., circumcision, dental practice) and prevailing social/cultural behaviour.",text,include,include,Additional transmission factors absent.,Ch 20 · Hepatitis C (within this chapter)
B2-29,39,creation of the national Committee for control of viral hepatitis (2007) ... national network of treatment centers (NNTC) through the internet,Egyptian national HCV response (history),20 Chronic Hepatitis B,273,"Book mentions elimination program from 2014 and 100 Million Healthy Lives (p273); not found (searched: committee, 2007, network)","Egypt created the National Committee for Control of Viral Hepatitis (2007) and an internet-based national network of treatment centres allowing nationwide patient registration; >350,000 patients were treated with pegylated IFN–ribavirin.",text,include,exclude,"Program-specific historical detail. | Central review: programme history (2007 committee, NNTC); not student-useful.",
B2-30,39,"Screening was done for more than 49 million of the population, the prevalence of HCV was 4.4 % all over the country.",Egypt screening campaign results,20 Chronic Hepatitis B,273,'approximately 60 million people have been screened' (p273); prevalence figure not given,Source: during Oct 2018–May 2019 >49 million were screened with HCV prevalence 4.4%; book: ~60 million screened to date.,text,discrepancy,discrepancy,Screening numbers differ (possibly different time frames); 4.4% prevalence figure is absent from book.,
B2-31,39,"The screening also aimed for detection of non-communicable diseases among population (hypertension, DM, Obesity).",Egypt screening campaign scope,20 Chronic Hepatitis B,273,"not found (searched: non-communicable, hypertension, obesity near HCV)","The 2018–2019 Egyptian HCV screening campaign also screened for non-communicable diseases (hypertension, diabetes, obesity).",text,include,exclude,Program-specific detail absent. | Central review: campaign detail (NCD screening); not student-useful.,
B2-32,40,"Easy to treat group: Treatment Naive S bilirubin ≤1.2 mg/dl- Serum Albumin ≥3.5 g/dl – INR 1.2, Platelet count ≥150 000/mm3.",Egyptian HCV treatment program criteria and regimens,20 Chronic Hepatitis B,"272, 273","Book gives Sofosbuvir/Velpatasvir 12 weeks, ribavirin for difficult-to-treat/previous DAA failure (p272–273); no easy/difficult-to-treat criteria (searched: easy to treat, 24 weeks)","In the Egyptian program, 'easy-to-treat' patients (naive, bilirubin ≤1.2 mg/dl, albumin ≥3.5 g/dl, INR 1.2, platelets ≥150,000) receive sofosbuvir + daclatasvir for 12 weeks; 'not-easy-to-treat' (Peg-IFN experienced, bilirubin ≥1.5, albumin ≤3.2, INR ≥1.5, platelets ≤100,000) add ribavirin for 12 weeks; relapse after sofosbuvir-based therapy is retreated with sofosbuvir + daclatasvir + ribavirin for 24 weeks; CKD patients receive the usual regimen.",text,include,exclude,Program-specific national protocol. | Central review: superseded Egyptian national regimen (sofosbuvir+daclatasvir); book states regimens replaced.,
B2-33,40,The patient is cured when HCV RNA is negative 3 months after the end of treatment,SVR definition and HBV vaccination,20 Chronic Hepatitis B,273,SVR12 = undetectable HCV RNA 12 weeks after therapy; vaccinate against HAV and HBV (p273),,text,exclude,exclude,Already covered.,
B2-34,41,"Type 1: ... (ANA), anti-smooth muscle antibody (ASMA). Type 2: ... (LKM-1), anti-liver cytosole antibody-1 (LC I)","AIH definition, types, clinical picture, diagnosis",21 Autoimmune Hepatitis,"275, 276",Reproduced nearly verbatim (p275–276),,text,exclude,exclude,Already covered.,
B2-35,42,AST ≥10 x ULN; AST ≥5 x ULN + GG ≥2 x ULN ... prednisone 0.5-1 mg/Kg ... azathioprine (1-2 mg/Kg,"AIH treatment indications, drugs, remission, prognosis",21 Autoimmune Hepatitis,"276, 277","Indications, prednisone/azathioprine doses, remission criteria, 65%/80% remission, 10-year survival 90%, transplantation covered (p276–277)",,text,exclude,exclude,Already covered.,
C-01,44,Gradual& sustained weight reduction (not more than 1.6 Kg/week),NAFLD/MASLD - rate of weight loss,21 Autoimmune Hepatitis (MASLD section),279,"p279: gradual sustained weight loss of 7-10% body weight; rapid weight loss should be avoided; no numeric weekly cap (searched: 1.6, kg/week, rapid weight, weight loss)","Weight reduction in fatty liver should be gradual and sustained, not more than 1.6 kg per week, because rapid weight loss can increase fibrosis.",text,include,include,Source gives a specific numeric safe rate absent from book,Ch 21 · Fatty liver (MASLD) management
C-02,44,Use of insulin sensitizing agents such as metformin or pioglitazone.,NAFLD/MASLD - metformin,21 Autoimmune Hepatitis (MASLD section),279,p279: 'Metformin should be used to treat diabetes but is not recommended specifically for treating MASH'; pioglitazone may be considered,Source lists metformin alongside pioglitazone as an insulin-sensitizing agent for NAFLD; book states metformin is not recommended specifically for MASH.,text,discrepancy,discrepancy,Source and book differ on role of metformin in NAFLD/MASH treatment,
C-03,44,"under clinical trials : Obeticholic acid , Liraglutide ; Semaglutide , Empagliflozin",NAFLD - drugs under trial,21 Autoimmune Hepatitis (MASLD section),279,p279: GLP-1 RA (semaglutide) increasingly used; 'New therapies for MASH continue to emerge',"Source lists obeticholic acid, liraglutide, semaglutide and empagliflozin as agents under clinical trials.",text,exclude,exclude,Book already covers GLP-1 RA with more current status; trial-drug list is dated,
C-04,43,Difficulty with distinguishing steatosis from cirrhosis.,Fibroscan limitation in NAFLD,21 Autoimmune Hepatitis (MASLD section); 18 Liver Disease Assessment,"278, 241, 242",p278: Fibroscan estimates stiffness and steatosis via CAP; p242 measures fatty change,Source says Fibroscan has difficulty distinguishing steatosis from cirrhosis.,text,exclude,exclude,"Outdated versus book's CAP statement; NAFLD topic otherwise covered (definition, renaming, metabolic syndrome, clinical picture, U/S, biopsy) at p277-279",
C-05,45,"gall stones, recurrent pancreatitis (particularly in alcoholics), parotid enlargement",Cirrhosis - associated conditions at presentation,22 Liver Cirrhosis,282,"p282: gall stones, parotid enlargement, Dupuytren's contractures, muscle cramps; recurrent pancreatitis omitted (searched: recurrent pancreatitis, pancreatitis in Ch22)",Recurrent pancreatitis (particularly in alcoholics) is among the conditions associated with chronic liver disease that may bring a cirrhotic to attention.,text,include,include,Item dropped from book's otherwise verbatim list,Ch 22 · Clinical picture and investigations
C-06,45,"Fever due to infections: UTI, SBP, chest and skin infections , or due to portal bacteremia and necrosis of the liver cells.",Cirrhosis - causes of fever,22 Liver Cirrhosis,282,"p282: fever due to infections: UTI, SBP, chest and skin infections; non-infective causes absent (searched: portal bacter, bacteremia, fever)","Fever in cirrhosis may also be due to portal bacteremia and to necrosis of liver cells, not only overt infections.",text,include,include,Additional mechanisms of fever absent in book,Ch 22 · Clinical picture and investigations
C-07,45,feminization in male observed in long standing cases. This usually indicates decompensation.,Cirrhosis - hormonal signs,22 Liver Cirrhosis,282,"p282: hypogonadism/hyperestrogenism incl. gynecomastia, testicular atrophy, loss of body hair; no prognostic statement (searched: feminization, decompensation)",Feminization in male cirrhotics is seen in long-standing cases and usually indicates decompensation.,text,include,include,Prognostic significance absent from book,Ch 22 · Clinical picture and investigations
C-08,46,Fetor hepaticus: a fecal smell due to lack of detoxification of mercaptan absorbed from colon.,Fetor hepaticus,22 Liver Cirrhosis,283,"p283: 'a sweet, musty odor caused by volatile sulfur-containing compounds'","Source describes fetor hepaticus as a fecal smell due to failure to detoxify mercaptans absorbed from the colon; book describes a sweet, musty odor from volatile sulfur compounds.",text,discrepancy,discrepancy,Odor description differs (fecal vs sweet musty); source adds colonic mercaptan origin,
C-09,46,Physical signs in liver cirrhosis,Physical signs figure and abdominal/chest examination,22 Liver Cirrhosis,"283, 284",p283 exam text verbatim; p284 Figure 22.2 is the same physical-signs figure,n/a,image-figure,exclude,exclude,Already covered (same figure and text),
C-10,47,5- Increased urobilinogen in urine.,Cirrhosis - urine,22 Liver Cirrhosis,284,"not found in Ch22 lab list (searched: urobilinogen); urobilinogen covered only under jaundice types p245-246, p252",Urine urobilinogen is increased in cirrhosis.,text,include,include,Lab item dropped from book's cirrhosis investigation list,Ch 22 · Clinical picture and investigations
